label,precision,recall,f1,support,train_count,group
petricioli,0.0,0.0,0.0,0,5,Rare (<100)
papua-new-guinea,0.0,0.0,0.0,2,5,Rare (<100)
panama,0.0,0.0,0.0,0,9,Rare (<100)
lumber,0.0,0.0,0.0,6,10,Rare (<100)
ongpin,0.0,0.0,0.0,1,16,Rare (<100)
chad,0.0,0.0,0.0,0,7,Rare (<100)
dominican-republic,0.0,0.0,0.0,2,6,Rare (<100)
nycsce,0.0,0.0,0.0,0,6,Rare (<100)
nickel,0.0,0.0,0.0,1,8,Rare (<100)
nicaragua,0.0,0.0,0.0,4,23,Rare (<100)
mulroney,0.0,0.0,0.0,0,7,Rare (<100)
madagascar,0.0,0.0,0.0,0,5,Rare (<100)
nymex,0.0,0.0,0.0,3,5,Rare (<100)
