label,precision,recall,f1,support
fuel,0.8,0.4,0.5333333333333333,10
iraq,0.4444444444444444,0.6666666666666666,0.5333333333333333,30
rapeseed,0.6666666666666666,0.4444444444444444,0.5333333333333333,9
belgium,0.5,0.5510204081632653,0.5242718446601942,49
sprinkel,1.0,0.3333333333333333,0.5,3
gas,0.8571428571428571,0.35294117647058826,0.5,17
oat,1.0,0.3333333333333333,0.5,6
el-salvador,1.0,0.3333333333333333,0.5,3
chirac,1.0,0.3333333333333333,0.5,3
lse,1.0,0.3333333333333333,0.5,12
denmark,0.6666666666666666,0.4,0.5,10
bahrain,1.0,0.3333333333333333,0.5,21
kuwait,0.6428571428571429,0.391304347826087,0.4864864864864865,23
soy-meal,0.8,0.3076923076923077,0.4444444444444444,13
platinum,1.0,0.2857142857142857,0.4444444444444444,7
pse,0.6666666666666666,0.3333333333333333,0.4444444444444444,6
cuba,1.0,0.25,0.4,4
lme,1.0,0.25,0.4,4
norway,0.75,0.2608695652173913,0.3870967741935484,23
soy-oil,0.6,0.2727272727272727,0.375,11
sunseed,1.0,0.2,0.3333333333333333,5
qatar,1.0,0.2,0.3333333333333333,5
ase,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
yen,0.5,0.25,0.3333333333333333,12
worldbank,0.22857142857142856,0.5333333333333333,0.32,15
silver,1.0,0.125,0.2222222222222222,8
lead,0.5,0.14285714285714285,0.2222222222222222,14
luxembourg,1.0,0.12,0.21428571428571427,25
pet-chem,1.0,0.08333333333333333,0.15384615384615385,12
yemen-arab-republic,0.0,0.0,0.0,2
sun-oil,0.0,0.0,0.0,2
von-weizsaecker,0.0,0.0,0.0,0
zaire,0.0,0.0,0.0,2
syria,0.0,0.0,0.0,1
tanzania,0.0,0.0,0.0,8
tea,0.0,0.0,0.0,4
thatcher,0.0,0.0,0.0,5
tunisia,0.0,0.0,0.0,1
unctad,0.0,0.0,0.0,0
un,0.0,0.0,0.0,4
austria,0.0,0.0,0.0,6
zhao-ziyang,0.0,0.0,0.0,2
uganda,0.0,0.0,0.0,11
subroto,0.0,0.0,0.0,3
dmk,0.0,0.0,0.0,4
strategic-metal,0.0,0.0,0.0,11
hog,0.0,0.0,0.0,4
jamaica,0.0,0.0,0.0,2
ireland,0.0,0.0,0.0,2
inventories,0.0,0.0,0.0,0
instal-debt,0.0,0.0,0.0,1
inro,0.0,0.0,0.0,2
icahn,0.0,0.0,0.0,0
cyprus,0.0,0.0,0.0,12
howard-baker,0.0,0.0,0.0,3
herrington,0.0,0.0,0.0,1
lebanon,0.0,0.0,0.0,8
hawke,0.0,0.0,0.0,2
guatemala,0.0,0.0,0.0,1
groundnut,0.0,0.0,0.0,3
dauster,0.0,0.0,0.0,2
de-clercq,0.0,0.0,0.0,3
ghana,0.0,0.0,0.0,3
delors,0.0,0.0,0.0,1
du-plessis,0.0,0.0,0.0,1
l-cattle,0.0,0.0,0.0,2
libya,0.0,0.0,0.0,2
stg,0.0,0.0,0.0,0
papandreou,0.0,0.0,0.0,0
sse,0.0,0.0,0.0,0
bolivia,0.0,0.0,0.0,2
simex,0.0,0.0,0.0,2
sarney,0.0,0.0,0.0,4
rape-oil,0.0,0.0,0.0,3
poland,0.0,0.0,0.0,4
petricioli,0.0,0.0,0.0,0
papua-new-guinea,0.0,0.0,0.0,2
panama,0.0,0.0,0.0,0
lumber,0.0,0.0,0.0,6
ongpin,0.0,0.0,0.0,1
chad,0.0,0.0,0.0,0
dominican-republic,0.0,0.0,0.0,2
nycsce,0.0,0.0,0.0,0
nickel,0.0,0.0,0.0,1
nicaragua,0.0,0.0,0.0,4
mulroney,0.0,0.0,0.0,0
madagascar,0.0,0.0,0.0,0
nymex,0.0,0.0,0.0,3
